	HEUG_001.pep	HPSI_003.pep	HPSI_007.pep	HPSI_010.pep	HPSI_016.pep	HPSI_019.pep	HPSI_027.pep	HPSI_035.pep	HPSI_037.pep	HPSI_041.pep	HPSI_059.pep	HPSI_060.pep	HPSI_065.pep	HPSI_068.pep	HPSI_069.pep	HPSI_072.pep	HPSI_080.pep	HSYZ_001.pep	HSYZ_002.pep	HSYZ_003.pep
Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes
'0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1	87.0	84.0	84.2	80.9	84.3	84.0	84.0	83.9	84.0	84.0	76.1	83.7	84.2	83.8	82.0	79.5	80.2	80.1	82.2	73.0
'2	7.3	8.4	8.5	8.8	8.4	8.6	8.3	8.7	8.5	8.4	13.1	8.5	8.4	8.3	10.2	9.3	9.7	9.5	8.4	15.1
'3	1.8	3.3	3.3	3.4	3.2	3.3	3.4	3.2	3.2	3.3	3.9	3.3	3.2	3.6	3.3	3.8	3.6	3.4	3.3	3.6
'4	1.0	1.5	1.5	1.9	1.7	1.5	1.7	1.7	1.5	1.7	2.2	1.7	1.5	1.6	1.8	2.0	2.1	1.8	1.6	2.2
'5	0.7	0.8	0.9	1.3	0.8	0.9	0.6	0.9	1.1	0.8	1.1	0.8	1.0	1.0	0.9	1.4	1.1	0.9	1.0	1.0
'6	0.6	0.7	0.5	0.7	0.4	0.5	0.7	0.4	0.6	0.7	1.0	0.6	0.7	0.5	0.4	1.0	0.7	0.7	0.7	1.2
'7	0.3	0.4	0.2	0.6	0.3	0.5	0.4	0.3	0.3	0.3	0.4	0.4	0.2	0.3	0.1	0.7	0.2	0.7	0.6	0.8
'8	0.2	0.2	0.3	0.6	0.4	0.2	0.2	0.3	0.2	0.1	0.5	0.2	0.3	0.2	0.3	0.6	0.5	0.3	0.3	0.3
'9	0.2	0.2	0.2	0.3	0.1	0.2	0.2	0.1	0.0	0.3	0.2	0.3	0.0	0.1	0.3	0.1	0.1	0.2	0.3	0.3
'10	0.1	0.1	0.1	0.1	0.2	0.0	0.1	0.1	0.2	0.1	0.3	0.1	0.1	0.0	0.0	0.4	0.3	0.3	0.2	0.4
11-15	0.2	0.3	0.2	0.5	0.2	0.2	0.3	0.4	0.3	0.2	0.4	0.3	0.3	0.4	0.3	0.5	0.5	0.7	0.4	0.6
16-20	0.3	0.2	0.0	0.2	0.0	0.2	0.1	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.4	0.1	0.2	0.2	0.3
21-50	0.0	0.0	0.1	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.4	0.9	0.6	0.8
51-100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.0
101-150	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
151-200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
201-500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
501-1000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
